iter	Passed	Remaining
0	152	152243
1	228	113901
2	299	99468
3	370	92280
4	443	88277
5	519	86132
6	594	84297
7	665	82563
8	737	81234
9	806	79866
10	878	79003
11	948	78096
12	1019	77415
13	1092	76950
14	1162	76347
15	1235	75977
16	1304	75452
17	1374	74975
18	1444	74565
19	1513	74167
20	1583	73817
21	1652	73446
22	1721	73137
23	1789	72766
24	1857	72429
25	1928	72245
26	1998	72015
27	2069	71834
28	2139	71625
29	2210	71458
30	2279	71243
31	2351	71121
32	2422	70974
33	2491	70785
34	2560	70608
35	2629	70400
36	2698	70238
37	2769	70107
38	2840	69998
39	2912	69899
40	2981	69748
41	3052	69617
42	3120	69459
43	3190	69317
44	3259	69178
45	3330	69070
46	3398	68911
47	3468	68792
48	3538	68677
49	3608	68561
50	3677	68429
51	3749	68347
52	3818	68235
53	3889	68133
54	3961	68061
55	4030	67941
56	4100	67831
57	4170	67736
58	4240	67626
59	4310	67526
60	4379	67417
61	4450	67337
62	4523	67279
63	4595	67203
64	4665	67116
65	4735	67013
66	4804	66902
67	4875	66819
68	4944	66720
69	5013	66604
70	5083	66510
71	5153	66420
72	5225	66357
73	5295	66267
74	5366	66182
75	5433	66062
76	5503	65968
77	5572	65865
78	5640	65762
79	5711	65678
80	5783	65621
81	5855	65557
82	5925	65470
83	5995	65378
84	6065	65288
85	6133	65189
86	6201	65084
87	6273	65011
88	6345	64950
89	6415	64865
90	6485	64785
91	6557	64718
92	6625	64618
93	6637	63970
94	6707	63895
95	6777	63822
96	6847	63747
97	6917	63672
98	6988	63602
99	7058	63522
100	7128	63450
101	7197	63363
102	7268	63297
103	7341	63246
104	7409	63157
105	7479	63085
106	7549	63003
107	7619	62933
108	7690	62867
109	7760	62790
110	7828	62702
111	7898	62623
112	7968	62550
113	8038	62475
114	8109	62410
115	8178	62329
116	8248	62248
117	8318	62177
118	8388	62103
119	8460	62045
120	8532	61983
121	8607	61949
122	8680	61894
123	8757	61864
124	8830	61813
125	8903	61759
126	8976	61706
127	9014	61412
128	9087	61360
129	9161	61308
130	9235	61267
131	9309	61214
132	9383	61166
133	9455	61107
134	9527	61046
135	9599	60984
136	9670	60918
137	9744	60866
138	9817	60809
139	9888	60743
140	9961	60686
141	10032	60620
142	10111	60599
143	10195	60608
144	10269	60554
145	10339	60480
146	10410	60410
147	10481	60342
148	10554	60281
149	10624	60206
