asset_class,asset_subclass,has_market_price,has_cash_flows,has_options_features,is_exchange_traded,liquidity,maturity_years,has_credit_risk,has_early_exercise,is_path_dependent,data_availability,volatility_available,ifrs_level,recommended_method,risk_free_rate_3m,yield_10y,yield_curve_slope,implied_volatility_atm,iv_skew,beta,pe_ratio,dividend_yield,market_cap,debt_to_equity,duration_estimate,credit_spread_asset,convenience_yield,storage_cost_pct,asset_class_encoded,asset_subclass_encoded
Option,European Call,1,0,1,1,1,1.98,0,0,0,2,1,1,Black-Scholes,3.839512076030165,4.425860313794968,0.2412175502118318,1.0000000000000003e-05,0.05411034217714449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,29
Bond,Convertible Bond,1,1,1,1,0,4.28,1,1,0,1,1,2,Credit-Model,3.827352238632572,4.443790366754535,0.267575638985576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8998030156309706,1.2513999631834976,0.0,0.0,0,17
Bond,Corporate Bond (HY),1,1,0,1,0,4.67,1,0,0,0,1,2,Credit-Model,3.8424032355046283,4.483308129079319,0.27346931331337254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.178329607898698,1.6515291359060944,0.0,0.0,0,18
Option,American Call,1,0,1,1,2,1.42,0,1,0,2,1,2,Binomial-Tree,3.859166021750214,4.487091913873082,0.2523473616736415,1.0000000000000003e-05,0.040961923278067164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1
Currency,EM FX Forward,0,0,0,0,1,0.24,0,0,0,1,1,2,Forward-Pricing,3.825515962874048,4.439378925067054,0.2575753127013556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,23
Option,Barrier Option,0,0,1,0,1,0.53,0,0,1,1,1,2,Monte-Carlo,3.8255162772744233,4.46685299858832,0.2859326095867129,0.015634843750000002,0.035462564354951306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,6
Bond,Government Bond,1,1,0,1,2,17.03,0,0,0,2,1,2,DCF,3.8602419254169664,4.500907818729024,0.29883111485022423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.256924969734312,0.4501095572162003,0.0,0.0,0,38
Bond,Government Bond,1,1,0,1,2,4.73,0,0,0,2,1,1,DCF,3.844696375063278,4.469261445942459,0.22770779275007913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.075146835232445,0.20410902716582735,0.0,0.0,0,38
Commodity,Energy,1,0,0,1,2,1.16,0,0,0,2,1,1,Cost-of-Carry,3.821009565509346,4.4916995232606975,0.27360472770918587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049282275302006316,0.013074154587061352,1,25
Option,Swaption,0,0,1,0,1,3.24,0,0,0,1,1,2,Black-Scholes,3.840390024834671,4.482271602512853,0.2677338219276835,0.2500075,0.057512778313506416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,66
Bond,Sovereign Emerging Bond,1,1,0,1,0,12.42,1,0,0,1,1,2,DCF,3.8211255511826416,4.439702568851118,0.2721479271124786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.654778108468099,4.8923343626960945,0.0,0.0,0,65
Commodity,Commodity Spot,1,0,0,1,2,0.47,0,0,0,1,1,1,Cost-of-Carry,3.8210812752191297,4.4557634142560145,0.26366467048767556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01279414968271981,0.018943126576522733,1,14
Derivative,FX Option,0,0,1,0,1,1.61,0,0,0,1,1,2,Black-Scholes,3.83463357750049,4.460775024865908,0.24419026060887303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,33
Commodity,Commodity Spot,1,0,0,1,1,0.25,0,0,0,2,1,1,Cost-of-Carry,3.7933606833148032,4.4623221745528765,0.300845939560892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07645927320532461,0.01775645388006363,1,14
Option,American Call,1,0,1,1,1,0.45,0,1,0,2,1,2,Binomial-Tree,3.7969678235073756,4.480434135661681,0.29318659196661356,0.062509375,0.05480041102909016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1
Bond,Corporate Bond (IG),1,1,0,1,2,11.85,1,0,0,2,1,1,DCF,3.8192321938150355,4.469113670198742,0.2679202162220619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.131350403677045,1.680886111998865,0.0,0.0,0,19
Option,European Call,1,0,1,1,2,0.49,0,0,0,2,1,2,Black-Scholes,3.8106042840455956,4.394522718953748,0.2602337357505327,0.500005,0.05650951400901948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,29
Bond,Government Bond,1,1,0,1,2,19.83,0,0,0,2,1,2,DCF,3.8360178364191992,4.430723661910032,0.25781118741988196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.090024211129894,0.40352412883922434,0.0,0.0,0,38
Bond,Sovereign Emerging Bond,1,1,0,1,2,30.14,1,0,0,1,1,2,Credit-Model,3.8126113389537686,4.411221405596034,0.21828693550370998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.29457281785274,2.8777385671338975,0.0,0.0,0,65
Commodity,Agriculture,1,0,0,1,2,0.63,0,0,0,1,1,1,Cost-of-Carry,3.8029543841194293,4.463910644866615,0.2770764014920478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06348818021324203,0.006825455661964917,1,0
Option,European Put,1,0,1,1,1,1.21,0,0,0,1,1,1,Black-Scholes,3.858067173924848,4.465362874583131,0.28560647180605647,0.2500075,0.05613742503126299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,31
Bond,Corporate Bond (IG),1,1,0,1,0,8.83,1,0,0,1,1,1,DCF,3.825676383845683,4.4663159165770185,0.27275804232219497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.147799950724576,1.167449804081948,0.0,0.0,0,19
Bond,Corporate Bond (HY),1,1,0,1,0,4.01,1,0,0,1,1,2,Credit-Model,3.831293165119774,4.438615899629964,0.26827327130800455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.715335184602541,4.402732365198913,0.0,0.0,0,18
Option,Barrier Option,0,0,1,0,0,0.63,0,0,1,1,1,3,Monte-Carlo,3.8027160722340123,4.475033411314175,0.27266767016973126,0.2500075,0.06864893384124732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,6
Derivative,Equity Index Future,1,0,0,1,2,0.39,0,0,0,2,1,1,Forward-Pricing,3.819575070825343,4.475972653671248,0.25293548038484803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,27
Equity,Banking Stock,1,1,0,1,2,-1.0,0,0,0,1,1,2,DDM,3.8321241675929443,4.432010175801325,0.2600088954525929,0.0,0.0,1.2593640394875343,40.06580126883403,2.93513883152889,350317147002.2137,826.9823334288019,0.0,0.0,0.0,0.0,4,5
Commodity,Energy,1,0,0,1,2,0.96,0,0,0,2,1,1,Cost-of-Carry,3.8079584729923632,4.42730734810769,0.2666733394353564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06010391165376349,0.02602334322373689,1,25
Bond,Corporate Bond (IG),1,1,0,1,2,4.92,1,0,0,1,1,2,DCF,3.8371946170513196,4.4599970633971395,0.2839335314952975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.552173851094507,4.790164524247633,0.0,0.0,0,19
Bond,Corporate Bond (HY),1,1,0,1,0,8.3,1,0,0,1,1,2,Credit-Model,3.8184977690880553,4.499956744701578,0.2975771674659018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.082352425713167,4.0249040696078,0.0,0.0,0,18
Bond,Government Bond,1,1,0,1,2,20.39,0,0,0,2,1,2,DCF,3.824414064691459,4.49790426315103,0.26541704314054043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.55316786984847,0.23253711734726396,0.0,0.0,0,38
Derivative,Equity Swap,0,1,0,0,0,0.96,1,0,0,1,1,2,DCF,3.818477318375807,4.472563917237991,0.24910428924869127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,28
Option,American Call,1,0,1,1,2,0.76,0,1,0,2,1,1,Binomial-Tree,3.8654711272333464,4.443721074223764,0.2707129358152682,0.7763694238281251,0.058168546526994325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1
