asset_class,asset_subclass,has_market_price,has_cash_flows,has_options_features,is_exchange_traded,has_credit_risk,has_early_exercise,is_path_dependent,volatility_available,liquidity,maturity_years,data_availability,ifrs_level,recommended_method
Equity,Mid Cap,1,1,0,1,0,0,0,1,High,,Partial,1,DCF
Equity,Mid Cap,1,1,0,1,0,0,0,1,High,,Full,1,DCF
Equity,Mid Cap,1,1,0,1,0,0,0,1,Medium,,Partial,1,Relative
Equity,Mid Cap,1,1,0,1,0,0,0,1,High,,Partial,1,DDM
Equity,Large Cap Growth,1,1,0,1,0,0,0,1,High,,Full,1,Mark-to-Market
Equity,Large Cap Growth,1,1,0,1,0,0,0,1,High,,Full,1,Relative
Equity,Large Cap Growth,1,1,0,1,0,0,0,1,High,,Full,1,Relative
Equity,Large Cap Dividend,1,1,0,1,0,0,0,1,Medium,,Partial,1,DDM
Equity,Large Cap Growth,1,1,0,1,0,0,0,1,Medium,,Full,1,DCF
Equity,Large Cap Growth,1,1,0,1,0,0,0,1,High,,Partial,1,DDM
Equity,Mid Cap,1,1,0,1,0,0,0,1,High,,Partial,1,DCF
Equity,Large Cap Dividend,1,1,0,1,0,0,0,1,Medium,,Full,1,DDM
Equity,Large Cap Dividend,1,1,0,1,0,0,0,1,High,,Full,1,DDM
Equity,Large Cap Growth,1,1,0,1,0,0,0,1,High,,Full,1,Relative
Currency,FX Forward,1,0,0,0,0,0,0,1,High,0.12,Full,2,Forward-Pricing
Currency,FX Forward,1,0,0,0,0,0,0,1,Medium,0.69,Full,2,Forward-Pricing
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,High,25.33,Full,2,DCF
Bond,Corporate Bond (IG),1,1,0,1,1,0,0,1,High,9.25,Partial,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,13.9,Partial,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,7.18,Full,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,14.59,Partial,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,18.74,Partial,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,17.97,Partial,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,11.11,Partial,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,17.11,Partial,2,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,9.87,Partial,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,10.3,Full,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,High,29.63,Partial,1,DCF
Bond,Government Bond,1,1,0,1,0,0,0,1,Medium,10.22,Full,1,DCF
