asset_class,asset_subclass,has_market_price,has_cash_flows,has_options_features,is_exchange_traded,liquidity,maturity_years,has_credit_risk,has_early_exercise,is_path_dependent,data_availability,volatility_available,ifrs_level,recommended_method
Bond,Government Bond,1,1,0,0,Medium,7.180544373920605,0,0,0,Full,0,1,DCF
Commodity,Precious Metal,1,0,0,1,Medium,1.9057500572438375,0,0,0,Full,1,1,Cost-of-Carry
Bond,Corporate Bond,0,1,0,0,High,29.183513738439053,1,0,0,Partial,1,2,Credit-Model
Equity,Liquid Exchange-Traded,1,0,0,1,High,,0,0,0,Full,1,1,Mark-to-Market
Equity,Liquid Exchange-Traded,1,0,0,1,High,,0,0,0,Full,1,1,Mark-to-Market
Equity,Dividend Stock,1,1,0,1,High,,0,0,0,Full,1,1,DDM
Equity,Dividend Stock,1,1,0,1,High,,0,0,0,Full,1,1,DDM
Option,American Option,0,0,1,1,High,1.3986016810950557,0,1,0,Full,1,2,Binomial-Tree
Bond,Government Bond,1,1,0,1,High,5.846604501781899,0,0,0,Full,1,1,DCF
Commodity,Liquid Exchange-Traded,1,0,0,1,High,,0,0,0,Full,1,1,Mark-to-Market
Currency,FX Forward,0,0,0,0,High,0.6465519882313777,0,0,0,Full,1,2,Forward-Pricing
Commodity,Industrial Metal,1,0,0,1,High,0.6205681931384256,0,0,0,Full,1,1,Cost-of-Carry
Option,European Option,0,0,1,1,Medium,1.6939300193675244,0,0,0,Full,1,1,Black-Scholes
Option,European Option,0,0,1,0,Medium,1.6954638549856593,0,0,0,Full,1,1,Black-Scholes
Bond,Government Bond,1,1,0,1,High,6.215610619335018,0,0,0,Full,1,1,DCF
Bond,Corporate Bond,0,1,0,0,Low,18.820484347400583,1,0,0,Sparse,1,2,Credit-Model
Bond,Government Bond,0,1,0,1,High,26.154809562857213,0,0,0,Full,0,1,DCF
Commodity,Industrial Metal,1,0,0,1,High,1.213657641462994,0,0,0,Full,1,1,Cost-of-Carry
Bond,Government Bond,1,1,0,0,High,24.580567931206893,0,0,0,Full,0,1,DCF
Derivative,Interest Rate Swap,0,1,0,0,Medium,22.55506950859863,1,0,0,Partial,0,2,DCF
Bond,Corporate Bond,0,1,0,1,Medium,2.915603926842642,0,0,0,Sparse,0,2,DCF
Equity,Dividend Stock,1,1,0,1,High,,0,0,0,Full,1,1,DDM
Option,Digital Option,0,0,1,0,Low,2.480005359040435,0,0,1,Sparse,1,3,Monte-Carlo
Equity,Growth Stock,1,1,0,1,Medium,,0,0,0,Full,1,1,Relative
Equity,Dividend Stock,1,1,0,1,High,,0,0,0,Full,1,1,DDM
Currency,FX Forward,1,0,0,0,Medium,0.99527847821244,0,0,0,Full,1,2,Forward-Pricing
Bond,Corporate Bond,1,1,0,1,Medium,16.792104414985587,1,0,0,Full,0,2,Credit-Model
Bond,Corporate Bond,1,1,0,0,Low,24.223724895932758,1,0,0,Partial,0,3,Credit-Model
