asset_class,asset_subclass,has_market_price,has_cash_flows,has_options_features,is_exchange_traded,liquidity,maturity_years,has_credit_risk,has_early_exercise,is_path_dependent,data_availability,volatility_available,ifrs_level,recommended_method
Option,European Call,1,0,1,1,Medium,1.98,0,0,0,Full,1,1,Black-Scholes
Bond,Convertible Bond,1,1,1,1,Low,4.28,1,1,0,Partial,1,2,Credit-Model
Bond,Corporate Bond (HY),1,1,0,1,Low,4.67,1,0,0,Sparse,1,2,Credit-Model
Option,American Call,1,0,1,1,High,1.42,0,1,0,Full,1,2,Binomial-Tree
Currency,EM FX Forward,0,0,0,0,Medium,0.24,0,0,0,Partial,1,2,Forward-Pricing
Option,Barrier Option,0,0,1,0,Medium,0.53,0,0,1,Partial,1,2,Monte-Carlo
Bond,Government Bond,1,1,0,1,High,17.03,0,0,0,Full,1,2,DCF
Bond,Government Bond,1,1,0,1,High,4.73,0,0,0,Full,1,1,DCF
Commodity,Energy,1,0,0,1,High,1.16,0,0,0,Full,1,1,Cost-of-Carry
Option,Swaption,0,0,1,0,Medium,3.24,0,0,0,Partial,1,2,Black-Scholes
Bond,Sovereign Emerging Bond,1,1,0,1,Low,12.42,1,0,0,Partial,1,2,DCF
Commodity,Commodity Spot,1,0,0,1,High,0.47,0,0,0,Partial,1,1,Cost-of-Carry
Derivative,FX Option,0,0,1,0,Medium,1.61,0,0,0,Partial,1,2,Black-Scholes
Commodity,Commodity Spot,1,0,0,1,Medium,0.25,0,0,0,Full,1,1,Cost-of-Carry
Option,American Call,1,0,1,1,Medium,0.45,0,1,0,Full,1,2,Binomial-Tree
Bond,Corporate Bond (IG),1,1,0,1,High,11.85,1,0,0,Full,1,1,DCF
Option,European Call,1,0,1,1,High,0.49,0,0,0,Full,1,2,Black-Scholes
Bond,Government Bond,1,1,0,1,High,19.83,0,0,0,Full,1,2,DCF
Bond,Sovereign Emerging Bond,1,1,0,1,High,30.14,1,0,0,Partial,1,2,Credit-Model
Commodity,Agriculture,1,0,0,1,High,0.63,0,0,0,Partial,1,1,Cost-of-Carry
Option,European Put,1,0,1,1,Medium,1.21,0,0,0,Partial,1,1,Black-Scholes
Bond,Corporate Bond (IG),1,1,0,1,Low,8.83,1,0,0,Partial,1,1,DCF
Bond,Corporate Bond (HY),1,1,0,1,Low,4.01,1,0,0,Partial,1,2,Credit-Model
Option,Barrier Option,0,0,1,0,Low,0.63,0,0,1,Partial,1,3,Monte-Carlo
