TIME_PERIOD,OBS_VALUE
2015-S1,14203319.341
2015-S2,13062977.692
2016-S1,11901517.466
2016-S2,10619732.853
2017-S1,11425992.567
2017-S2,11625285.883
2018-S1,13003570.371
2018-S2,10843648.539
2019-S1,11724038.386
2019-S2,10609038.417
2020-S1,10875295.153
2020-S2,10902051.962
2021-S1,10689956.080
2021-S2,10126126.450
2022-S1,11105140.692
2022-S2,12042349.629
2023-S1,14434741.590
2023-S2,14914326.095
2024-S1,14019845.579
2024-S2,13325025.060
2025-S1,15749438.640
2025-S2,15549878.695
2016-S1,0.000
2016-S2,0.000
2017-S1,0.000
2017-S2,0.000
2018-S1,0.000
2018-S2,0.000
2019-S1,NaN
2019-S2,NaN
2020-S1,NaN
2020-S2,NaN
2021-S1,NaN
2021-S2,NaN
2022-S1,0.000
2022-S2,0.000
2023-S1,0.000
2023-S2,0.000
2024-S1,0.000
2024-S2,0.000
2015-S1,3800530.591
2015-S2,3864206.439
2016-S1,4961349.209
2016-S2,3944812.704
2017-S1,5439584.203
2017-S2,5265704.916
2018-S1,5363295.492
2018-S2,5125152.693
2019-S1,4765535.425
2019-S2,4495838.825
2020-S1,4922991.889
2020-S2,4992398.870
2021-S1,5166569.753
2021-S2,5229046.048
2022-S1,5222536.754
2022-S2,4996630.567
2023-S1,5099540.242
2023-S2,4905687.724
2024-S1,5479014.064
2024-S2,5354129.458
2025-S1,5549981.088
2025-S2,4426688.563
2016-S1,699.769
2016-S2,610.521
2017-S1,686.476
2017-S2,673.153
2018-S1,752.781
2018-S2,1338.937
2019-S1,4558.417
2019-S2,4529.829
2020-S1,7662.412
2020-S2,3346.683
2021-S1,2244.685
2021-S2,2161.395
2022-S1,6844.000
2022-S2,6355.000
2023-S1,31269.000
2023-S2,35388.000
2024-S1,60788.000
2024-S2,52905.000
2025-S1,96204.000
2025-S2,79165.000
2015-S1,968.626
2015-S2,1129.824
2016-S1,1012.646
2016-S2,1053.037
2017-S1,1334.177
2017-S2,876.089
2018-S1,924.558
2018-S2,895.403
2019-S1,787.112
2019-S2,806.357
2020-S1,801.048
2020-S2,749.837
2021-S1,727.947
2021-S2,706.372
2022-S1,814.724
2022-S2,792.562
2023-S1,1250.109
2023-S2,1229.686
2024-S1,1227.780
2024-S2,1331.061
2025-S1,1702.522
2025-S2,1521.725
2015-S1,1688246.533
2015-S2,1415315.897
2016-S1,2814607.796
2016-S2,1535925.787
2017-S1,1131238.221
2017-S2,809198.807
2018-S1,730699.256
2018-S2,621024.718
2019-S1,1018937.025
2019-S2,1002349.684
2020-S1,1937385.823
2020-S2,1667147.452
2021-S1,1420272.581
2021-S2,1436485.589
2022-S1,2183434.263
2022-S2,2939051.032
2023-S1,2978816.929
2023-S2,2854662.304
2024-S1,2718969.263
2024-S2,2902186.541
2025-S1,2669328.157
2025-S2,2945099.563
2015-S1,14455.697
2015-S2,8756.368
2016-S1,7216.271
2016-S2,12589.766
2017-S1,13407.940
2017-S2,16524.594
2018-S1,13370.518
2018-S2,16317.112
2019-S1,23887.751
2019-S2,28007.604
2020-S1,32591.328
2020-S2,39391.192
2021-S1,48581.527
2021-S2,50307.570
2022-S1,46290.061
2022-S2,48462.796
2023-S1,36620.793
2023-S2,31024.428
2024-S1,28109.487
2024-S2,25621.399
2025-S1,27922.911
2025-S2,28179.739
2015-S1,10935.000
2015-S2,9768.000
2016-S1,15411.000
2016-S2,17264.000
2017-S1,13122.000
2017-S2,13197.000
2018-S1,10721.000
2018-S2,12262.000
2019-S1,6634.000
2019-S2,7415.000
2020-S1,6744.000
2020-S2,13184.000
2021-S1,13335.000
2021-S2,8178.000
2022-S1,10563.000
2022-S2,6649.000
2023-S1,8330.000
2023-S2,2911.000
2024-S1,5082.000
2024-S2,3515.000
2025-S1,2784.000
2025-S2,2736.000
2015-S1,95977.986
2015-S2,82676.546
2016-S1,53064.686
2016-S2,43698.712
2017-S1,58524.432
2017-S2,63844.084
2018-S1,77596.207
2018-S2,53708.069
2019-S1,60482.782
2019-S2,50505.850
2020-S1,47796.475
2020-S2,41601.719
2021-S1,32883.959
2021-S2,34041.258
2022-S1,27239.328
2022-S2,28837.837
2023-S1,30741.371
2023-S2,32655.916
2024-S1,36157.457
2024-S2,33833.932
2025-S1,37314.411
2025-S2,35407.812
2015-S1,4910677.000
2015-S2,4065514.500
2016-S1,3884236.500
2016-S2,2831255.000
2017-S1,2292622.000
2017-S2,1833466.500
2018-S1,1574823.500
2018-S2,1439192.500
2019-S1,1224080.000
2019-S2,1112886.000
2020-S1,1144438.000
2020-S2,1012079.000
2021-S1,887129.500
2021-S2,932723.500
2022-S1,940074.000
2022-S2,920025.500
2023-S1,888249.000
2023-S2,903376.000
2024-S1,757246.000
2024-S2,698662.000
2025-S1,861932.500
2025-S2,813260.500
2015-S1,1004421.000
2015-S2,936081.500
2016-S1,943356.500
2016-S2,707466.000
2017-S1,577283.000
2017-S2,419613.500
2018-S1,344884.000
2018-S2,324246.500
2019-S1,235923.500
2019-S2,202181.000
2020-S1,224383.000
2020-S2,183647.500
2021-S1,157682.000
2021-S2,191642.500
2022-S1,207697.000
2022-S2,211722.000
2023-S1,189249.500
2023-S2,163646.500
2024-S1,155898.500
2024-S2,136363.000
2025-S1,179759.500
2025-S2,167793.000
2016-S1,1210832.996
2016-S2,750296.646
2017-S1,666166.880
2017-S2,438223.074
2018-S1,309445.971
2018-S2,250249.891
2019-S1,390586.955
2019-S2,419603.484
2020-S1,597973.876
2020-S2,664934.905
2021-S1,537647.839
2021-S2,650607.093
2022-S1,759546.644
2022-S2,1028554.446
2023-S1,1153433.072
2023-S2,919925.484
2024-S1,838744.147
2024-S2,785664.296
2025-S1,834108.958
2025-S2,886201.426
2015-S1,4337160.217
2015-S2,3549919.652
2016-S1,3789676.177
