,RSI,symbol,indicator
2026-06-22,49.9266,AAPL,RSI
2026-06-18,50.9751,AAPL,RSI
2026-06-17,48.9233,AAPL,RSI
2026-06-16,52.1607,AAPL,RSI
2026-06-15,49.5010,AAPL,RSI
2026-06-12,44.0862,AAPL,RSI
2026-06-11,48.1658,AAPL,RSI
2026-06-10,43.8213,AAPL,RSI
2026-06-09,42.6868,AAPL,RSI
2026-06-08,53.3632,AAPL,RSI
2026-06-05,60.8174,AAPL,RSI
2026-06-04,66.6123,AAPL,RSI
2026-06-03,65.8591,AAPL,RSI
2026-06-02,73.7247,AAPL,RSI
2026-06-01,67.1733,AAPL,RSI
2026-05-29,79.0043,AAPL,RSI
2026-05-28,80.0286,AAPL,RSI
2026-05-27,79.1004,AAPL,RSI
2026-05-26,77.6353,AAPL,RSI
2026-05-22,78.6306,AAPL,RSI
2026-05-21,76.4381,AAPL,RSI
2026-05-20,74.7148,AAPL,RSI
2026-05-19,72.4772,AAPL,RSI
2026-05-18,71.6754,AAPL,RSI
2026-05-15,76.0255,AAPL,RSI
2026-05-14,74.8264,AAPL,RSI
2026-05-13,75.9794,AAPL,RSI
2026-05-12,73.6550,AAPL,RSI
2026-05-11,72.3614,AAPL,RSI
2026-05-08,72.9413,AAPL,RSI
2026-05-07,69.3121,AAPL,RSI
2026-05-06,69.4150,AAPL,RSI
2026-05-05,67.2681,AAPL,RSI
2026-05-04,61.7677,AAPL,RSI
2026-05-01,66.4363,AAPL,RSI
2026-04-30,58.7476,AAPL,RSI
2026-04-29,57.5350,AAPL,RSI
2026-04-28,58.2628,AAPL,RSI
2026-04-27,55.2451,AAPL,RSI
2026-04-24,59.7062,AAPL,RSI
2026-04-23,62.9488,AAPL,RSI
2026-04-22,62.7427,AAPL,RSI
2026-04-21,56.7239,AAPL,RSI
2026-04-20,66.5332,AAPL,RSI
2026-04-17,64.1753,AAPL,RSI
2026-04-16,57.4299,AAPL,RSI
2026-04-15,62.2590,AAPL,RSI
2026-04-14,53.0676,AAPL,RSI
2026-04-13,53.6583,AAPL,RSI
2026-04-10,55.6483,AAPL,RSI
2026-04-09,55.6633,AAPL,RSI
2026-04-08,53.8288,AAPL,RSI
2026-04-07,46.8998,AAPL,RSI
2026-04-06,54.4283,AAPL,RSI
2026-04-02,50.3706,AAPL,RSI
2026-04-01,49.9626,AAPL,RSI
2026-03-31,47.4152,AAPL,RSI
2026-03-30,35.5613,AAPL,RSI
2026-03-27,37.9701,AAPL,RSI
2026-03-26,43.0769,AAPL,RSI
2026-03-25,42.6037,AAPL,RSI
2026-03-24,40.9493,AAPL,RSI
2026-03-23,40.7063,AAPL,RSI
2026-03-20,34.9042,AAPL,RSI
2026-03-19,35.8059,AAPL,RSI
2026-03-18,36.6952,AAPL,RSI
2026-03-17,40.8159,AAPL,RSI
2026-03-16,38.7156,AAPL,RSI
2026-03-13,34.5879,AAPL,RSI
2026-03-12,39.7856,AAPL,RSI
2026-03-11,45.4664,AAPL,RSI
2026-03-10,45.4903,AAPL,RSI
2026-03-09,44.1972,AAPL,RSI
2026-03-06,40.8798,AAPL,RSI
2026-03-05,43.7009,AAPL,RSI
2026-03-04,46.0249,AAPL,RSI
2026-03-03,47.3135,AAPL,RSI
2026-03-02,48.3039,AAPL,RSI
2026-02-27,47.7384,AAPL,RSI
2026-02-26,57.1699,AAPL,RSI
2026-02-25,58.7428,AAPL,RSI
