symbol,name,sector,industry,quoteType,market_cap,enterprise_value,pe_ratio,forward_pe,peg_ratio,price_to_book,ev_to_ebitda,beta,dividend_yield,payout_ratio,roe,roa,profit_margin,revenue_growth,debt_to_equity,current_ratio,free_cashflow,total_revenue,52w_high,52w_low,avg_volume,asset_class,recommended_method
AAPL,Apple Inc.,Technology,Consumer Electronics,EQUITY,4362291642368,4378495549440,35.957626,30.936642,2.41,40.91047,27.37,1.086,0.36,0.1259,1.4147099,0.26229,0.27152002,0.166,79.548,1.07,101090746368.0,451442016256,317.4,199.26,47369172,Equity,DCF
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,EQUITY,2728761229312,2775965237248,21.878498,18.988003,1.17,6.585869,15.049,1.103,0.99,0.20729999,0.34013999,0.14814,0.39341998,0.183,30.271,1.283,37011251200.0,318272995328,555.45,356.28,36098814,Equity,DCF
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,EQUITY,4266995482624,4205758906368,26.67277,24.121851,1.45,8.849522,26.072,1.237,0.25,0.0641,0.38884997,0.14641,0.37919,0.218,20.026,1.922,27921750016.0,422498009088,408.61,166.13,30197559,Equity,DCF
NVDA,NVIDIA Corporation,Technology,Semiconductors,EQUITY,5053711646720,5008972054528,31.952524,16.391691,0.65,25.855019,30.263,2.202,0.48,0.0061000003,1.14288,0.52727,0.62966,0.852,6.555,3.441,46335873024.0,253491003392,236.54,145.5,161827462,Equity,DCF
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,EQUITY,1431289856000,1436879028224,20.488733,15.556215,0.83,5.872642,13.145,1.229,0.37,0.0764,0.32930002,0.16395001,0.32837,0.331,35.608,2.348,25558249472.0,214962995200,796.25,520.26,17511701,Equity,DCF
JPM,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,EQUITY,888204427264,647108427776,15.87548,14.066207,1.73,2.5820425,,1.0,1.81,0.2824,0.16465001,0.01272,0.33936,0.127,,,,173559005184,338.09,279.1,8987443,Equity,DCF
GS,"The Goldman Sachs Group, Inc.",Financial Services,Capital Markets,EQUITY,326387367936,51338506240,20.200293,16.864025,1.69,3.105417,,1.291,1.63,0.2831,0.14548,0.00944,0.29363,0.145,678.596,1.5,,61532999680,1125.0,653.24,2114390,Equity,DCF
BAC,Bank of America Corporation,Financial Services,Banks - Diversified,EQUITY,407131422720,380743417856,14.235731,11.289462,1.0,1.4838091,,1.196,1.95,0.273,0.10644,0.00927,0.28956,0.081,,,,109590003712,57.98,44.75,36217770,Equity,DCF
BRK-B,Berkshire Hathaway Inc.,Financial Services,Insurance - Diversified,EQUITY,1054032855040,-265525313536,14.5573435,22.757658,10.06,0.00096663216,-2.25,0.617,,0.0,0.10499,0.053940002,0.19305,0.044,17.669,2.876,61228249088.0,375394009088,516.85,455.19,4984304,Equity,DCF
V,Visa Inc.,Financial Services,Credit Services,EQUITY,621109510144,626048761856,28.499128,21.972921,1.44,17.519579,20.769,0.765,0.82,0.2197,0.60349,0.19193001,0.51679003,0.171,67.233,1.088,20839749632.0,43027001344,359.66,293.89,7616856,Equity,DCF
