ticker,name,country,currency,estimateCurrency,exchange,ipo,marketCapitalization,logo,shareOutstanding,finnhubIndustry,phone,weburl,floatingShare,52WeekHigh,52WeekLow,beta,peRatio,pbRatio,roeTTM,debtEquity,revenueGrowth3Y,dividendYield
AAPL,Apple Inc,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,1980-12-12,4362291.88077239,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AAPL.png,14687.36,Technology,14089961010,https://www.apple.com/,14446.4,317.4,196.86,1.0977722,36.0746,34.0011,146.69,0.7955,1.81,0.3636241203999866
MSFT,Microsoft Corp,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,1986-03-13,2728761.1111602415,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/MSFT.png,7428.43,Technology,14258828080,https://www.microsoft.com/en-in/,7421.25,555.45,356.28,1.1394936,22.5046,6.6336,33.129999999999995,0.249,12.42,0.9909076060325585
GOOGL,Alphabet Inc,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,2004-08-19,4257200.1408,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/GOOG.png,12174.56,Media,13026365400,https://abc.xyz/,5784.01,408.61,162.0,1.2542807,26.3473,7.2581,38.98,0.1619,12.51,0.2516586593456875
NVDA,NVIDIA Corp,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,1999-01-22,5049330.05850994,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/NVDA.png,24200.0,Semiconductors,13026365401,https://www.nvidia.com/,23229.68,236.54,142.03,2.2398121,32.2148,26.9275,111.66,0.0433,100.05,0.4792715073088905
META,Meta Platforms Inc,US,USD,USD,NASDAQ NMS - GLOBAL MARKET,2012-05-18,1431289.807037856,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/FB.png,2538.42,Media,13026365400,https://www.meta.com/,2192.9,796.25,520.26,1.2485263,20.7578,5.9391,33.22,0.2411,19.89,0.37243947858473
JPM,JPMorgan Chase & Co,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",1969-03-05,888204.4669370076,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/JPM.png,2679.51,Banking,12122706000,https://www.jpmorganchase.com/,2668.07,338.09,272.11,0.9910165,15.0474,2.1674,16.32,3.3882,3.36295,1.8100639555930977
GS,Goldman Sachs Group Inc,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",1999-05-04,326387.37202735816,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/GS.png,295.01,Financial Services,12129021000,https://www.goldmansachs.com/,293.39,1125.0,630.01,1.2952863,18.0066,2.029,14.56,10.6504,22.11,1.6269421622061335
BAC,Bank of America Corp,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",1979-06-05,407131.3928751847,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/BAC.png,7096.59,Banking,13026587581,https://www.bankofamerica.com,6571.86,57.98,44.75,1.1963384,12.8926,1.156,10.5,2.4499,0.61805,1.9522398466097264
BRK.A,Berkshire Hathaway Inc,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",1980-03-17,1056537.1697663332,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/BRK.B.png,1.44,Financial Services,13026587581,https://www.berkshirehathaway.com/,0.31,775000.0,685150.0,0.14273465,14.5186,1.4209,10.31,0.1772,7.14,
V,Visa Inc,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",2008-03-25,627639.71,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/V.png,1884.12,Financial Services,13026587581,https://usa.visa.com/,1658.07,359.66,293.89,0.7654311,27.7281,16.1541,58.9,0.6723,10.92,0.8366894570884456
JNJ,Johnson & Johnson,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",1944-09-25,556765.2279282855,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/JNJ.png,2407.22,Pharmaceuticals,17325242455,https://www.jnj.com/,2405.7,251.71,149.04,0.24622017,26.4159,7.1942,26.26,0.6773,5.6,2.3174369838730597
UNH,UnitedHealth Group Inc,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",1984-10-17,370205.07,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/UNH.png,908.14,Health Care,13026587581,https://www.unitedhealthgroup.com/,905.87,415.98,234.6,0.63279027,30.2333,2.364,12.4,0.75,11.35,2.281892396970591
PFE,Pfizer Inc,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",1944-01-17,142942.04650771437,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/PFE.png,5699.44,Pharmaceuticals,12127332323,https://www.pfizer.com/,5691.47,28.75,23.11,0.29160962,19.1389,1.7532,8.37,0.7154,-14.8,6.8580542264752795
ABBV,AbbVie Inc,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",2013-01-02,406380.0329762151,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/ABBV.png,1766.79,Biotechnology,13023513367,https://www.abbvie.com/,1764.61,244.81,181.73,0.29125574,105.225,261.0115,95.59,49.2176,1.75,3.008564845006739
MRK,Merck & Co Inc,US,USD,USD,"NEW YORK STOCK EXCHANGE, INC.",1941-01-01,285215.33585416735,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/MRK.png,2469.82,Pharmaceuticals,19087404000,https://www.merck.com/,2467.28,125.14,76.66,0.22638616,31.4762,6.4759,17.93,1.0706,3.12,2.9442327675788014
