figi,name,ticker,security_type,security_type2,market_sector,exchange
BBG00Z84G329,VIP PLAY INC COMMON STOCK,VIPZ,Common Stock,Common Stock,Equity,UV
BBG00Z84G2K1,VIP PLAY INC COMMON STOCK,VIPZ,Common Stock,Common Stock,Equity,US
BBG00Z84G310,VIP PLAY INC COMMON STOCK,VIPZ,Common Stock,Common Stock,Equity,PQ
BBG006XWY4G6,8COMMON LTD,8CO,Common Stock,Common Stock,Equity,AT
BBG000F504H4,SCOTIABANK PERU-COMMON,SCOTIAC1,Common Stock,Common Stock,Equity,PE
BBG006XWY4F7,8COMMON LTD,8CO,Common Stock,Common Stock,Equity,AU
BBG006XWY4M9,8COMMON LTD,8CO,Common Stock,Common Stock,Equity,AH
BBG000K3B9B6,PRIMA AFP SA-COMMON,PRIMAC1,Common Stock,Common Stock,Equity,PE
BBG000KYKQS2,LA POSITIVA VIDA -COMMON,POSITVC1,Common Stock,Common Stock,Equity,PE
BBG000G690Q0,INMOBILIARIA ENUR-COMMON A,ENURCA,Common Stock,Common Stock,Equity,CR
BBG000TDRVD7,ENKA DE COLOMBIA-COMMON SH,ENKA,Common Stock,Common Stock,Equity,CX
BBG000LD6R01,TECHNOFARMA SA-COMMON SHRS I,TECNOCI,Common Stock,Common Stock,Equity,CR
BBG000DKY850,SOC MINERA CORONA SA-COMMON,MINCORC1,Common Stock,Common Stock,Equity,PE
BBG000TDRTH8,ENKA DE COLOMBIA-COMMON SH,ENKA,Common Stock,Common Stock,Equity,CB
BBG000RW0C02,STOCK PLUS AD,SW3,Common Stock,Common Stock,Equity,XL
BBG000VCWGK5,STOCK PLUS AD,SW3EUR,Common Stock,Common Stock,Equity,EU
BBG00PQ0X7R4,WARSAW STOCK EXCHANGE,GPW,Common Stock,Common Stock,Equity,EP
BBG00QFYKJN2,STOCK PLUS AD,SW3EUR,Common Stock,Common Stock,Equity,X1
BBG00WH4YZS7,WARSAW STOCK EXCHANGE,GPWEUR,Common Stock,Common Stock,Equity,XH
BBG00WH4Z012,WARSAW STOCK EXCHANGE,GPWEUR,Common Stock,Common Stock,Equity,XO
BBG00WH4Z094,WARSAW STOCK EXCHANGE,GPWEUR,Common Stock,Common Stock,Equity,XU
BBG015WRBTT5,STOCK3 AG,BOG1EUR,Common Stock,Common Stock,Equity,XV
BBG018J3LBK4,WARSAW STOCK EXCHANGE,WSX,Common Stock,Common Stock,Equity,LU
BBG01H49S1C1,BUDAPEST STOCK EXCHANGE,BETHUF,Common Stock,Common Stock,Equity,XF
BBG01H49S1S4,BUDAPEST STOCK EXCHANGE,BETHUF,Common Stock,Common Stock,Equity,XW
BBG001B5M3V8,WARSAW STOCK EXCHANGE,GPWUSD,Common Stock,Common Stock,Equity,EO
BBG006T9DRM7,STOCK PLUS AD,STKPF,Common Stock,Common Stock,Equity,L3
BBG00WH4YZV3,WARSAW STOCK EXCHANGE,GPWEUR,Common Stock,Common Stock,Equity,XF
BBG00Y5280K4,WARSAW STOCK EXCHANGE,GPWEUR,Common Stock,Common Stock,Equity,EP
BBG015WRBT97,STOCK3 AG,BOG1EUR,Common Stock,Common Stock,Equity,XF
BBG015WRBTQ8,STOCK3 AG,BOG1EUR,Common Stock,Common Stock,Equity,XW
BBG01H49S168,BUDAPEST STOCK EXCHANGE,BETHUF,Common Stock,Common Stock,Equity,EO
BBG01H49S1Y7,BUDAPEST STOCK EXCHANGE,BETHUF,Common Stock,Common Stock,Equity,XQ
BBG01LB31J73,BUDAPEST STOCK EXCHANGE,BETHUF,Common Stock,Common Stock,Equity,X9
BBG01M8JP413,STOCK3 AG,BOG,Common Stock,Common Stock,Equity,QT
BBG000VRSS49,STOCK PLUS AD,SW3EUR,Common Stock,Common Stock,Equity,EO
BBG0019GLP49,WARSAW STOCK EXCHANGE,GPW,Common Stock,Common Stock,Equity,EO
BBG00591YNW3,WARSAW STOCK EXCHANGE,GPW,Common Stock,Common Stock,Equity,XV
BBG00WH4Z0G6,WARSAW STOCK EXCHANGE,GPWEUR,Common Stock,Common Stock,Equity,XX
