contract_symbol,last_trade_date,strike,last_price,bid,ask,change,pct_change,volume,open_interest,implied_volatility,itm_flag,contract_size,currency,symbol,underlying_price,expiration,option_type,moneyness,days_to_expiry,time_to_expiry_years,in_the_money,asset_class,asset_subclass
AAPL260622C00225000,2026-06-18 15:13:01+00:00,225.0,73.62,0.0,0.0,0.0,0.0,16.0,16.0,1.0000000000000003e-05,True,REGULAR,USD,AAPL,298.01,2026-06-22,call,0.7550082212006308,-1,-0.0027378507871321013,True,Option,Call Option
AAPL260622C00235000,2026-06-18 19:26:56+00:00,235.0,62.43,0.0,0.0,0.0,0.0,6.0,113.0,1.0000000000000003e-05,True,REGULAR,USD,AAPL,298.01,2026-06-22,call,0.7885641421428812,-1,-0.0027378507871321013,True,Option,Call Option
AAPL260622C00240000,2026-06-18 19:26:56+00:00,240.0,57.44,0.0,0.0,0.0,0.0,16.0,121.0,1.0000000000000003e-05,True,REGULAR,USD,AAPL,298.01,2026-06-22,call,0.8053421026140063,-1,-0.0027378507871321013,True,Option,Call Option
AAPL260622C00245000,2026-06-12 15:55:14+00:00,245.0,47.25,0.0,0.0,0.0,0.0,59.0,68.0,1.0000000000000003e-05,True,REGULAR,USD,AAPL,298.01,2026-06-22,call,0.8221200630851314,-1,-0.0027378507871321013,True,Option,Call Option
AAPL260622C00250000,2026-06-18 16:25:15+00:00,250.0,47.05,0.0,0.0,0.0,0.0,5.0,137.0,1.0000000000000003e-05,True,REGULAR,USD,AAPL,298.01,2026-06-22,call,0.8388980235562565,-1,-0.0027378507871321013,True,Option,Call Option
AAPL260622C00255000,2026-06-15 16:47:24+00:00,255.0,42.11,0.0,0.0,0.0,0.0,1.0,71.0,1.0000000000000003e-05,True,REGULAR,USD,AAPL,298.01,2026-06-22,call,0.8556759840273817,-1,-0.0027378507871321013,True,Option,Call Option
AAPL260622C00260000,2026-06-18 15:07:16+00:00,260.0,38.38,0.0,0.0,0.0,0.0,3.0,34.0,1.0000000000000003e-05,True,REGULAR,USD,AAPL,298.01,2026-06-22,call,0.8724539444985068,-1,-0.0027378507871321013,True,Option,Call Option
AAPL260622C00262500,2026-06-16 16:15:22+00:00,262.5,36.9,0.0,0.0,0.0,0.0,36.0,100.0,1.0000000000000003e-05,True,REGULAR,USD,AAPL,298.01,2026-06-22,call,0.8808429247340693,-1,-0.0027378507871321013,True,Option,Call Option
AAPL260622C00265000,2026-06-17 17:08:14+00:00,265.0,32.1,0.0,0.0,0.0,0.0,1.0,93.0,1.0000000000000003e-05,True,REGULAR,USD,AAPL,298.01,2026-06-22,call,0.8892319049696319,-1,-0.0027378507871321013,True,Option,Call Option
AAPL260622C00267500,2026-06-17 15:59:37+00:00,267.5,31.03,0.0,0.0,0.0,0.0,64.0,76.0,1.0000000000000003e-05,True,REGULAR,USD,AAPL,298.01,2026-06-22,call,0.8976208852051945,-1,-0.0027378507871321013,True,Option,Call Option
AAPL260622C00270000,2026-06-18 18:33:36+00:00,270.0,27.42,0.0,0.0,0.0,0.0,5.0,150.0,1.0000000000000003e-05,True,REGULAR,USD,AAPL,298.01,2026-06-22,call,0.906009865440757,-1,-0.0027378507871321013,True,Option,Call Option
AAPL260622C00272500,2026-06-15 18:26:33+00:00,272.5,23.47,0.0,0.0,0.0,0.0,2.0,28.0,1.0000000000000003e-05,True,REGULAR,USD,AAPL,298.01,2026-06-22,call,0.9143988456763196,-1,-0.0027378507871321013,True,Option,Call Option
AAPL260622C00275000,2026-06-18 19:28:54+00:00,275.0,22.71,0.0,0.0,0.0,0.0,14.0,30.0,1.0000000000000003e-05,True,REGULAR,USD,AAPL,298.01,2026-06-22,call,0.9227878259118821,-1,-0.0027378507871321013,True,Option,Call Option
AAPL260622C00277500,2026-06-18 19:28:54+00:00,277.5,20.25,0.0,0.0,0.0,0.0,12.0,112.0,1.0000000000000003e-05,True,REGULAR,USD,AAPL,298.01,2026-06-22,call,0.9311768061474447,-1,-0.0027378507871321013,True,Option,Call Option
AAPL260622C00280000,2026-06-18 19:53:37+00:00,280.0,18.66,0.0,0.0,0.0,0.0,21.0,202.0,1.0000000000000003e-05,True,REGULAR,USD,AAPL,298.01,2026-06-22,call,0.9395657863830074,-1,-0.0027378507871321013,True,Option,Call Option
AAPL260622C00282500,2026-06-17 15:48:17+00:00,282.5,14.78,0.0,0.0,0.0,0.0,87.0,112.0,1.0000000000000003e-05,True,REGULAR,USD,AAPL,298.01,2026-06-22,call,0.9479547666185699,-1,-0.0027378507871321013,True,Option,Call Option
AAPL260622C00285000,2026-06-18 19:50:00+00:00,285.0,13.0,0.0,0.0,0.0,0.0,64.0,62.0,1.0000000000000003e-05,True,REGULAR,USD,AAPL,298.01,2026-06-22,call,0.9563437468541325,-1,-0.0027378507871321013,True,Option,Call Option
AAPL260622C00287500,2026-06-18 19:50:00+00:00,287.5,10.75,0.0,0.0,0.0,0.0,162.0,130.0,1.0000000000000003e-05,True,REGULAR,USD,AAPL,298.01,2026-06-22,call,0.964732727089695,-1,-0.0027378507871321013,True,Option,Call Option
AAPL260622C00290000,2026-06-18 19:58:53+00:00,290.0,8.7,0.0,0.0,0.0,0.0,4008.0,685.0,1.0000000000000003e-05,True,REGULAR,USD,AAPL,298.01,2026-06-22,call,0.9731217073252576,-1,-0.0027378507871321013,True,Option,Call Option
AAPL260622C00292500,2026-06-18 19:59:42+00:00,292.5,6.17,0.0,0.0,0.0,0.0,286.0,297.0,1.0000000000000003e-05,True,REGULAR,USD,AAPL,298.01,2026-06-22,call,0.9815106875608202,-1,-0.0027378507871321013,True,Option,Call Option
AAPL260622C00295000,2026-06-18 19:59:36+00:00,295.0,4.15,0.0,0.0,0.0,0.0,2798.0,1889.0,1.0000000000000003e-05,True,REGULAR,USD,AAPL,298.01,2026-06-22,call,0.9898996677963827,-1,-0.0027378507871321013,True,Option,Call Option
AAPL260622C00297500,2026-06-18 19:59:57+00:00,297.5,2.0,0.0,0.0,0.0,0.0,12561.0,4594.0,1.0000000000000003e-05,True,REGULAR,USD,AAPL,298.01,2026-06-22,call,0.9982886480319453,-1,-0.0027378507871321013,True,Option,Call Option
AAPL260622C00300000,2026-06-18 19:59:58+00:00,300.0,1.03,0.0,0.0,0.0,0.0,30882.0,7642.0,0.0312596875,False,REGULAR,USD,AAPL,298.01,2026-06-22,call,1.0066776282675078,-1,-0.0027378507871321013,False,Option,Call Option
AAPL260622C00302500,2026-06-18 19:59:58+00:00,302.5,0.43,0.0,0.0,0.0,0.0,11478.0,2990.0,0.062509375,False,REGULAR,USD,AAPL,298.01,2026-06-22,call,1.0150666085030704,-1,-0.0027378507871321013,False,Option,Call Option
AAPL260622C00305000,2026-06-18 19:59:59+00:00,305.0,0.18,0.0,0.0,0.0,0.0,11181.0,4490.0,0.12500875,False,REGULAR,USD,AAPL,298.01,2026-06-22,call,1.023455588738633,-1,-0.0027378507871321013,False,Option,Call Option
AAPL260622C00307500,2026-06-18 19:59:57+00:00,307.5,0.09,0.0,0.0,0.0,0.0,4155.0,2345.0,0.12500875,False,REGULAR,USD,AAPL,298.01,2026-06-22,call,1.0318445689741955,-1,-0.0027378507871321013,False,Option,Call Option
AAPL260622C00310000,2026-06-18 19:59:32+00:00,310.0,0.03,0.0,0.0,0.0,0.0,3921.0,3039.0,0.12500875,False,REGULAR,USD,AAPL,298.01,2026-06-22,call,1.040233549209758,-1,-0.0027378507871321013,False,Option,Call Option
AAPL260622C00312500,2026-06-18 19:59:38+00:00,312.5,0.02,0.0,0.0,0.0,0.0,759.0,1158.0,0.2500075,False,REGULAR,USD,AAPL,298.01,2026-06-22,call,1.0486225294453206,-1,-0.0027378507871321013,False,Option,Call Option
AAPL260622C00315000,2026-06-18 19:50:34+00:00,315.0,0.01,0.0,0.0,0.0,0.0,1137.0,1309.0,0.2500075,False,REGULAR,USD,AAPL,298.01,2026-06-22,call,1.0570115096808832,-1,-0.0027378507871321013,False,Option,Call Option
AAPL260622C00317500,2026-06-18 17:32:06+00:00,317.5,0.03,0.0,0.0,0.0,0.0,31.0,364.0,0.2500075,False,REGULAR,USD,AAPL,298.01,2026-06-22,call,1.0654004899164458,-1,-0.0027378507871321013,False,Option,Call Option
AAPL260622C00320000,2026-06-18 19:01:37+00:00,320.0,0.01,0.0,0.0,0.0,0.0,162.0,450.0,0.2500075,False,REGULAR,USD,AAPL,298.01,2026-06-22,call,1.0737894701520083,-1,-0.0027378507871321013,False,Option,Call Option
AAPL260622C00322500,2026-06-17 15:06:07+00:00,322.5,0.03,0.0,0.0,0.0,0.0,35.0,53.0,0.2500075,False,REGULAR,USD,AAPL,298.01,2026-06-22,call,1.0821784503875709,-1,-0.0027378507871321013,False,Option,Call Option
AAPL260622C00325000,2026-06-18 19:52:07+00:00,325.0,0.02,0.0,0.0,0.0,0.0,14.0,869.0,0.500005,False,REGULAR,USD,AAPL,298.01,2026-06-22,call,1.0905674306231334,-1,-0.0027378507871321013,False,Option,Call Option
AAPL260622C00327500,2026-06-11 16:11:28+00:00,327.5,0.07,0.0,0.0,0.0,0.0,,5.0,0.500005,False,REGULAR,USD,AAPL,298.01,2026-06-22,call,1.098956410858696,-1,-0.0027378507871321013,False,Option,Call Option
AAPL260622C00330000,2026-06-18 14:48:06+00:00,330.0,0.04,0.0,0.0,0.0,0.0,7.0,78.0,0.500005,False,REGULAR,USD,AAPL,298.01,2026-06-22,call,1.1073453910942586,-1,-0.0027378507871321013,False,Option,Call Option
AAPL260622C00332500,2026-06-16 17:20:13+00:00,332.5,0.01,0.0,0.0,0.0,0.0,1.0,6.0,0.500005,False,REGULAR,USD,AAPL,298.01,2026-06-22,call,1.1157343713298211,-1,-0.0027378507871321013,False,Option,Call Option
AAPL260622C00335000,2026-06-17 13:40:53+00:00,335.0,0.02,0.0,0.0,0.0,0.0,1.0,216.0,0.500005,False,REGULAR,USD,AAPL,298.01,2026-06-22,call,1.1241233515653837,-1,-0.0027378507871321013,False,Option,Call Option
AAPL260622C00340000,2026-06-16 14:50:17+00:00,340.0,0.01,0.0,0.0,0.0,0.0,4.0,128.0,0.500005,False,REGULAR,USD,AAPL,298.01,2026-06-22,call,1.1409013120365088,-1,-0.0027378507871321013,False,Option,Call Option
AAPL260622C00345000,2026-06-17 15:26:30+00:00,345.0,0.01,0.0,0.0,0.0,0.0,126.0,495.0,0.500005,False,REGULAR,USD,AAPL,298.01,2026-06-22,call,1.157679272507634,-1,-0.0027378507871321013,False,Option,Call Option
AAPL260622C00350000,2026-06-18 15:28:21+00:00,350.0,0.15,0.0,0.0,0.0,0.0,10.0,67.0,0.500005,False,REGULAR,USD,AAPL,298.01,2026-06-22,call,1.174457232978759,-1,-0.0027378507871321013,False,Option,Call Option
AAPL260622C00355000,2026-06-17 18:47:17+00:00,355.0,0.01,0.0,0.0,0.0,0.0,1.0,4.0,0.500005,False,REGULAR,USD,AAPL,298.01,2026-06-22,call,1.1912351934498844,-1,-0.0027378507871321013,False,Option,Call Option
AAPL260622C00360000,2026-06-17 18:19:46+00:00,360.0,0.01,0.0,0.0,0.0,0.0,7.0,9.0,0.500005,False,REGULAR,USD,AAPL,298.01,2026-06-22,call,1.2080131539210095,-1,-0.0027378507871321013,False,Option,Call Option
AAPL260622C00365000,2026-06-15 15:07:26+00:00,365.0,0.45,0.0,0.0,0.0,0.0,,4.0,0.500005,False,REGULAR,USD,AAPL,298.01,2026-06-22,call,1.2247911143921346,-1,-0.0027378507871321013,False,Option,Call Option
