company,tag,value_usd,period_end,form,filed
JPMorgan Chase,AvailableForSaleSecurities,202225000000,2017-12-31,10-K,2018-02-27
JPMorgan Chase,AvailableForSaleSecurities,202225000000,2017-12-31,10-K,2019-02-26
JPMorgan Chase,AvailableForSaleSecurities,238891000000,2016-12-31,10-K,2017-02-28
JPMorgan Chase,AvailableForSaleSecuritiesDebtSecurities,388178000000,2020-12-31,10-K,2021-02-23
JPMorgan Chase,AvailableForSaleSecuritiesDebtSecurities,350699000000,2019-12-31,10-K,2020-02-25
JPMorgan Chase,AvailableForSaleSecuritiesDebtSecurities,350699000000,2019-12-31,10-K,2021-02-23
JPMorgan Chase,HeldToMaturitySecurities,201899000000,2020-12-31,10-K,2021-02-23
JPMorgan Chase,HeldToMaturitySecurities,47540000000,2019-12-31,10-K,2020-02-25
JPMorgan Chase,HeldToMaturitySecurities,31434000000,2018-12-31,10-K,2019-02-26
JPMorgan Chase,DerivativeAssets,57777000000,2025-12-31,10-K,2026-02-13
JPMorgan Chase,DerivativeAssets,60967000000,2024-12-31,10-K,2025-02-14
JPMorgan Chase,DerivativeAssets,60967000000,2024-12-31,10-K,2026-02-13
JPMorgan Chase,DerivativeLiabilities,46329000000,2025-12-31,10-K,2026-02-13
JPMorgan Chase,DerivativeLiabilities,39661000000,2024-12-31,10-K,2025-02-14
JPMorgan Chase,DerivativeLiabilities,39661000000,2024-12-31,10-K,2026-02-13
JPMorgan Chase,DerivativeNotionalAmount,50642000000000,2025-12-31,10-K,2026-02-13
JPMorgan Chase,DerivativeNotionalAmount,47723000000000,2024-12-31,10-K,2025-02-14
JPMorgan Chase,DerivativeNotionalAmount,47723000000000,2024-12-31,10-K,2026-02-13
Bank of America,AvailableForSaleSecuritiesDebtSecurities,299178000000,2021-12-31,10-K,2022-02-22
Bank of America,AvailableForSaleSecuritiesDebtSecurities,234491000000,2020-12-31,10-K,2021-02-24
Bank of America,AvailableForSaleSecuritiesDebtSecurities,234491000000,2020-12-31,10-K,2022-02-22
Bank of America,HeldToMaturitySecurities,674591000000,2021-12-31,10-K,2022-02-22
Bank of America,HeldToMaturitySecurities,438279000000,2020-12-31,10-K,2021-02-24
Bank of America,HeldToMaturitySecurities,438279000000,2020-12-31,10-K,2022-02-22
Bank of America,TradingSecurities,366954000000,2025-12-31,10-K,2026-02-25
Bank of America,TradingSecurities,314460000000,2024-12-31,10-K,2025-02-25
Bank of America,TradingSecurities,314460000000,2024-12-31,10-K,2026-02-25
Bank of America,DerivativeAssets,40881000000,2025-12-31,10-K,2026-02-25
Bank of America,DerivativeAssets,40948000000,2024-12-31,10-K,2025-02-25
Bank of America,DerivativeAssets,40948000000,2024-12-31,10-K,2026-02-25
Bank of America,DerivativeLiabilities,42076000000,2025-12-31,10-K,2026-02-25
Bank of America,DerivativeLiabilities,39353000000,2024-12-31,10-K,2025-02-25
Bank of America,DerivativeLiabilities,39353000000,2024-12-31,10-K,2026-02-25
Wells Fargo,AvailableForSaleSecurities,277085000000,2017-12-31,10-K,2018-03-01
Wells Fargo,AvailableForSaleSecurities,308364000000,2016-12-31,10-K,2017-03-01
Wells Fargo,AvailableForSaleSecurities,308364000000,2016-12-31,10-K,2018-03-01
Wells Fargo,AvailableForSaleSecuritiesDebtSecurities,177244000000,2021-12-31,10-K,2022-02-22
Wells Fargo,AvailableForSaleSecuritiesDebtSecurities,220392000000,2020-12-31,10-K,2021-02-23
Wells Fargo,AvailableForSaleSecuritiesDebtSecurities,220392000000,2020-12-31,10-K,2022-02-22
Wells Fargo,HeldToMaturitySecurities,272118000000,2021-12-31,10-K,2022-02-22
Wells Fargo,HeldToMaturitySecurities,205761000000,2020-12-31,10-K,2021-02-23
Wells Fargo,HeldToMaturitySecurities,205761000000,2020-12-31,10-K,2022-02-22
Wells Fargo,TradingSecurities,77814000000,2011-12-31,10-K,2012-02-28
Wells Fargo,TradingSecurities,51414000000,2010-12-31,10-K,2012-02-28
Wells Fargo,TradingSecurities,51414000000,2010-12-31,10-K,2011-02-25
Wells Fargo,DerivativeAssets,21810000000,2025-12-31,10-K,2026-02-24
Wells Fargo,DerivativeAssets,20012000000,2024-12-31,10-K,2025-02-25
Wells Fargo,DerivativeAssets,20012000000,2024-12-31,10-K,2026-02-24
Wells Fargo,DerivativeLiabilities,13624000000,2025-12-31,10-K,2026-02-24
Wells Fargo,DerivativeLiabilities,16335000000,2024-12-31,10-K,2025-02-25
Wells Fargo,DerivativeLiabilities,16335000000,2024-12-31,10-K,2026-02-24
Goldman Sachs,AssetsFairValueDisclosure,963966000000,2025-12-31,10-K,2026-02-25
Goldman Sachs,AssetsFairValueDisclosure,907669000000,2024-12-31,10-K,2025-02-27
Goldman Sachs,AssetsFairValueDisclosure,907669000000,2024-12-31,10-K,2026-02-25
Goldman Sachs,LiabilitiesFairValueDisclosure,774885000000,2025-12-31,10-K,2026-02-25
Goldman Sachs,LiabilitiesFairValueDisclosure,699661000000,2024-12-31,10-K,2025-02-27
Goldman Sachs,LiabilitiesFairValueDisclosure,699661000000,2024-12-31,10-K,2026-02-25
Goldman Sachs,AvailableForSaleSecurities,9276000000,2017-12-31,10-K,2018-02-26
Goldman Sachs,AvailableForSaleSecurities,89000000,2016-12-31,10-K,2018-02-26
Goldman Sachs,AvailableForSaleSecuritiesDebtSecurities,99244000000,2025-12-31,10-K,2026-02-25
Goldman Sachs,AvailableForSaleSecuritiesDebtSecurities,79458000000,2024-12-31,10-K,2025-02-27
Goldman Sachs,AvailableForSaleSecuritiesDebtSecurities,79458000000,2024-12-31,10-K,2026-02-25
Goldman Sachs,HeldToMaturitySecurities,5301000000,2020-12-31,10-K,2021-02-22
Goldman Sachs,HeldToMaturitySecurities,5825000000,2019-12-31,10-K,2020-02-21
Goldman Sachs,HeldToMaturitySecurities,5825000000,2019-12-31,10-K,2021-02-22
Goldman Sachs,TradingSecurities,656796000000,2025-12-31,10-K,2026-02-25
Goldman Sachs,TradingSecurities,570555000000,2024-12-31,10-K,2025-02-27
Goldman Sachs,TradingSecurities,570555000000,2024-12-31,10-K,2026-02-25
Goldman Sachs,DerivativeAssets,52953000000,2025-12-31,10-K,2026-02-25
Goldman Sachs,DerivativeAssets,47339000000,2024-12-31,10-K,2025-02-27
Goldman Sachs,DerivativeAssets,47339000000,2024-12-31,10-K,2026-02-25
Goldman Sachs,DerivativeLiabilities,84405000000,2025-12-31,10-K,2026-02-25
Goldman Sachs,DerivativeLiabilities,74980000000,2024-12-31,10-K,2025-02-27
Goldman Sachs,DerivativeLiabilities,74980000000,2024-12-31,10-K,2026-02-25
Goldman Sachs,DerivativeNotionalAmount,43530881000000,2025-12-31,10-K,2026-02-25
Goldman Sachs,DerivativeNotionalAmount,37127322000000,2024-12-31,10-K,2025-02-27
Goldman Sachs,DerivativeNotionalAmount,37127322000000,2024-12-31,10-K,2026-02-25
Morgan Stanley,AvailableForSaleSecurities,61061000000,2018-12-31,10-K,2019-02-26
Morgan Stanley,AvailableForSaleSecurities,55203000000,2017-12-31,10-K,2018-02-27
Morgan Stanley,AvailableForSaleSecurities,55203000000,2017-12-31,10-K,2019-02-26
Morgan Stanley,AvailableForSaleSecuritiesDebtSecurities,102830000000,2021-12-31,10-K,2022-02-24
Morgan Stanley,AvailableForSaleSecuritiesDebtSecurities,110383000000,2020-12-31,10-K,2021-02-26
Morgan Stanley,AvailableForSaleSecuritiesDebtSecurities,110383000000,2020-12-31,10-K,2022-02-24
Morgan Stanley,DerivativeAssets,36790000000,2025-12-31,10-K,2026-02-19
Morgan Stanley,DerivativeAssets,38569000000,2024-12-31,10-K,2025-02-21
Morgan Stanley,DerivativeAssets,38569000000,2024-12-31,10-K,2026-02-19
Morgan Stanley,DerivativeLiabilities,42025000000,2025-12-31,10-K,2026-02-19
Morgan Stanley,DerivativeLiabilities,37930000000,2024-12-31,10-K,2025-02-21
Morgan Stanley,DerivativeLiabilities,37930000000,2024-12-31,10-K,2026-02-19
Citigroup,AvailableForSaleSecurities,290914000000,2017-12-31,10-K,2018-02-23
Citigroup,AvailableForSaleSecurities,290914000000,2017-12-31,10-K,2019-02-22
Citigroup,AvailableForSaleSecurities,299424000000,2016-12-31,10-K,2017-02-24
Citigroup,AvailableForSaleSecuritiesDebtSecurities,249679000000,2022-12-31,10-K,2023-02-27
Citigroup,AvailableForSaleSecuritiesDebtSecurities,288522000000,2021-12-31,10-K,2022-02-28
Citigroup,AvailableForSaleSecuritiesDebtSecurities,288522000000,2021-12-31,10-K,2023-02-27
Citigroup,HeldToMaturitySecurities,268863000000,2022-12-31,10-K,2023-02-27
Citigroup,HeldToMaturitySecurities,216963000000,2021-12-31,10-K,2022-02-28
