country_code,country_name,indicator,indicator_name,year,value
AR,Argentina,DT.DOD.DECT.GN.ZS,Debt-to-GNI ratio,2024,39.0583452380588
AR,Argentina,DT.DOD.DECT.GN.ZS,Debt-to-GNI ratio,2023,39.9528949452964
AR,Argentina,DT.DOD.DECT.GN.ZS,Debt-to-GNI ratio,2022,40.0821942544545
AR,Argentina,DT.DOD.DECT.GN.ZS,Debt-to-GNI ratio,2021,51.6176877458835
AR,Argentina,DT.DOD.DECT.GN.ZS,Debt-to-GNI ratio,2020,68.0983401439473
AR,Argentina,DT.DOD.DECT.GN.ZS,Debt-to-GNI ratio,2019,65.2499452681964
AR,Argentina,DT.DOD.DECT.GN.ZS,Debt-to-GNI ratio,2018,54.8960712180333
AR,Argentina,DT.DOD.DECT.GN.ZS,Debt-to-GNI ratio,2017,36.0210140421607
AR,Argentina,DT.DOD.DECT.GN.ZS,Debt-to-GNI ratio,2016,33.3125611167404
AR,Argentina,DT.DOD.DECT.GN.ZS,Debt-to-GNI ratio,2015,30.3597130322943
BR,Brazil,DT.DOD.DECT.GN.ZS,Debt-to-GNI ratio,2024,28.6612661075538
BR,Brazil,DT.DOD.DECT.GN.ZS,Debt-to-GNI ratio,2023,28.628650184641
BR,Brazil,DT.DOD.DECT.GN.ZS,Debt-to-GNI ratio,2022,30.5621181630478
BR,Brazil,DT.DOD.DECT.GN.ZS,Debt-to-GNI ratio,2021,35.2910131878973
BR,Brazil,DT.DOD.DECT.GN.ZS,Debt-to-GNI ratio,2020,38.0076646022397
BR,Brazil,DT.DOD.DECT.GN.ZS,Debt-to-GNI ratio,2019,31.1964144613097
BR,Brazil,DT.DOD.DECT.GN.ZS,Debt-to-GNI ratio,2018,29.9289604206331
BR,Brazil,DT.DOD.DECT.GN.ZS,Debt-to-GNI ratio,2017,26.8156664558868
BR,Brazil,DT.DOD.DECT.GN.ZS,Debt-to-GNI ratio,2016,30.9090873467642
BR,Brazil,DT.DOD.DECT.GN.ZS,Debt-to-GNI ratio,2015,30.7299282835538
CN,China,DT.DOD.DECT.GN.ZS,Debt-to-GNI ratio,2024,13.0007522555005
CN,China,DT.DOD.DECT.GN.ZS,Debt-to-GNI ratio,2023,13.50675136222
CN,China,DT.DOD.DECT.GN.ZS,Debt-to-GNI ratio,2022,13.9317634143876
CN,China,DT.DOD.DECT.GN.ZS,Debt-to-GNI ratio,2021,15.0703683293598
CN,China,DT.DOD.DECT.GN.ZS,Debt-to-GNI ratio,2020,15.634535209813
CN,China,DT.DOD.DECT.GN.ZS,Debt-to-GNI ratio,2019,14.5601860956403
CN,China,DT.DOD.DECT.GN.ZS,Debt-to-GNI ratio,2018,13.9248882428061
