country,country_code,indicator,indicator_code,year,value
United States,US,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2024,2.79318715363841
United States,US,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2023,2.93436322440155
United States,US,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2022,2.52421385073222
United States,US,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2021,6.15202247867526
United States,US,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2020,-2.081375977796
United States,US,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2019,2.58382533052225
United States,US,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2018,2.96650506701943
United States,US,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2017,2.45762230126449
United States,US,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2016,1.81945147909089
United States,US,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2015,2.94555045227337
United States,US,Lending interest rate,FR.INR.LEND,2021,3.25
United States,US,Lending interest rate,FR.INR.LEND,2020,3.54416666666667
United States,US,Lending interest rate,FR.INR.LEND,2019,5.2825
United States,US,Lending interest rate,FR.INR.LEND,2018,4.90416666666667
United States,US,Lending interest rate,FR.INR.LEND,2017,4.09666666666667
United States,US,Lending interest rate,FR.INR.LEND,2016,3.51166666666667
United States,US,Lending interest rate,FR.INR.LEND,2015,3.26
United Kingdom,GB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2024,1.08027716858781
United Kingdom,GB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2023,0.271650048355255
United Kingdom,GB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2022,5.14970388522993
United Kingdom,GB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2021,8.5431118453255
United Kingdom,GB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2020,-10.047896637362
United Kingdom,GB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2019,1.25629899760824
United Kingdom,GB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2018,1.55133095078786
United Kingdom,GB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2017,3.02322219840339
